Day of the week ,Duty name,Start time,End time,Teacher name,Teacher ID
Thursday,Duty-Small Field/Atrium  & Lift lobby @2:15,13:55,14:25,Rosemary Peck,10087
Friday,Duty-Small Field/Atrium  & Lift lobby @2:15,13:55,14:25,Timur Andrade,10020
Monday,Duty-Drama Foyer/PE Change Rooms Sweep,13:55,14:25,Laura Koch,10031
Tuesday,Duty-Drama Foyer/PE Change Rooms Sweep,13:55,14:25,Raiden Nash,10081
Wednesday,Duty-Drama Foyer/PE Change Rooms Sweep,13:55,14:25,Eamonn Ryan,10073
Thursday,Duty-Drama Foyer/PE Change Rooms Sweep,13:55,14:25,Kush Whittington,10010
Friday,Duty-Drama Foyer/PE Change Rooms Sweep,13:55,14:25,Huma Montgomery,10027
Monday,Duty-Cricket/Garden/Reception Sweep,13:55,14:25,Arabella Cervantes,10035
Tuesday,Duty-Cricket/Garden/Reception Sweep,13:55,14:25,Rosemary Peck,10087
Wednesday,Duty-Cricket/Garden/Reception Sweep,13:55,14:25,Mayson Lugo,10075
Thursday,Duty-Cricket/Garden/Reception Sweep,13:55,14:25,Timothy Adkins,10016
Friday,Duty-Cricket/Garden/Reception Sweep,13:55,14:25,Jax Hoffman,10051
Monday,Duty-L1 Lockers & Lift lobby @2:10,13:55,14:25,Harold Dominguez,10045
Tuesday,Duty-L1 Lockers & Lift lobby @2:10,13:55,14:25,Ellie-Mai Schneider,10092
Wednesday,Duty-L1 Lockers & Lift lobby @2:10,13:55,14:25,Kamila Figueroa,10077
Thursday,Duty-L1 Lockers & Lift lobby @2:10,13:55,14:25,Derren Lozano,10024
Friday,Duty-L1 Lockers & Lift lobby @2:10,13:55,14:25,Sonny Gilbert,10059
Monday,Duty-Library,13:55,14:25,Rafi Goodman,10046
Tuesday,Duty-Library,13:55,14:25,Jorja Heaton,10093
Wednesday,Duty-Library,13:55,14:25,Samirah Underwood,10085
Thursday,Duty-Library,13:55,14:25,Winston Aldred,10029
Friday,Duty-Library,13:55,14:25,Israr Greer,10061
Monday,Duty-Level 7 - 11 Sweep,13:55,14:25,Jax Hoffman,10051
Tuesday,Duty-Level 7 - 11 Sweep,13:55,14:25,Carson Mclellan,10033
Wednesday,Duty-Level 7 - 11 Sweep,13:55,14:25,Carrie Bone,10091
Thursday,Duty-Level 7 - 11 Sweep,13:55,14:25,Piers Devlin,10039
Friday,Duty-Level 7 - 11 Sweep,13:55,14:25,Lili Nairn,10066
Wednesday,Duty-B1 Bus Park @3.30 / Canteen Sweep @3:45-4.00,15:30,17:00,Haydon Delaney,10013
Friday,Duty-B1 Bus Park @3.30 / Canteen Sweep @3:45-4.00,15:30,17:00,Tomas Barnes,10017
Monday,Duty-Reception 3.30 - 4.00,15:30,17:00,Dylon Melton,10021
Friday,Duty-Reception 3.30 - 4.00,15:30,17:00,Caoimhe Davie,10018
Monday,Duty-Shuttle Bus. 3.30 - 4.00,15:30,17:00,Roma Vaughn,10026
Friday,Duty-Shuttle Bus. 3.30 - 4.00,15:30,17:00,Sumaya Noel,10019
Tuesday,Duty-B1 Bus Park  5.00 - 5.15,15:30,17:00,Ahsan Roy,10022
Thursday,Duty-B1 Bus Park  5.00 - 5.15,15:30,17:00,Carina Cochran,10052
Tuesday,Duty-B2 Car Park  5.00 - 5.15,15:30,17:00,Belle Stark,10025
Thursday,Duty-B2 Car Park  5.00 - 5.15,15:30,17:00,Huzaifah Velazquez,10057
Friday,Duty-B2 Car Park  5.00 - 5.15,15:30,17:00,Timur Andrade,10020
